image_index,contrast_0
165,13630.520134228189
166,0.0
167,15408.161073825504
168,8114.305369127516
169,0.0
170,0.0
171,5347.469798657718
172,5347.469798657718
173,5353.288590604027
174,2083.1275167785234
175,2083.1275167785234
176,2088.946308724832
177,11989.620805369128
178,11102.255033557049
179,9240.241610738256
180,2496.261744966443
181,2350.791946308725
182,2507.8993288590605
183,1798.0067114093958
184,1792.1879194630874
185,1798.0067114093958
186,948.4630872483222
187,1838.738255033557
188,791.3557046979865
189,2342.0637583892617
190,1507.0671140939598
191,0.0
192,2199.5033557046977
193,2446.802013422819
194,2199.5033557046977
195,2813.3859060402683
196,2825.023489932886
197,3118.8724832214766
198,1550.7080536912752
199,0.0
200,2420.61744966443
201,3482.546979865772
202,2536.993288590604
203,3278.8892617449665
204,7750.630872483221
205,0.0
206,7552.791946308725
207,1262.6778523489934
208,1888.1979865771807
209,1856.1946308724832
210,4442.647651006711
211,4241.89932885906
212,5117.627516778523
213,1390.6912751677853
214,1437.241610738255
215,2272.238255033557
216,1256.8590604026845
217,1256.8590604026845
218,0.0
219,2376.976510067114
220,1524.523489932886
221,2298.422818791946
222,4419.372483221477
223,4500.835570469799
224,0.0
225,2490.442953020134
226,1803.8255033557043
227,1832.919463087248
228,0.0
229,3124.691275167785
230,3142.1476510067114
231,10438.912751677854
232,10325.446308724831
233,10729.852348993289
234,2036.5771812080536
235,2260.6006711409395
236,1501.248322147651
237,1792.1879194630872
238,2557.359060402685
239,2408.979865771812
240,122.19463087248322
241,0.0
242,69.8255033557047
243,0.0
244,7064.013422818793
245,0.0
246,4948.88255033557
247,0.0
248,4055.697986577181
249,4049.879194630873
250,0.0
251,4049.879194630873
252,3697.8422818791946
253,5568.583892617449
254,4663.761744966443
255,4547.385906040268
256,0.0
257,4614.302013422819
258,8233.590604026846
259,8018.295302013423
260,7867.006711409396
261,3174.151006711409
262,2304.2416107382546
263,3168.3322147651006
264,4218.624161073825
265,4224.442953020134
266,4102.2483221476505
267,2979.221476510067
268,3031.590604026845
269,0.0
270,1661.265100671141
271,1600.1677852348994
272,1547.798657718121
273,0.0
274,5661.68456375839
275,5638.4093959731545
276,1815.4630872483224
277,1792.1879194630874
278,1815.4630872483224
279,0.0
280,1879.4697986577185
281,2714.4664429530203
282,2912.305369127517
283,3206.154362416108
284,3339.9865771812083
285,2929.761744966443
286,2947.218120805369
287,3892.771812080537
288,1341.231543624161
289,1614.7147651006712
290,1629.261744966443
291,0.0
292,802.993288590604
293,802.993288590604
294,2874.48322147651
295,2484.6241610738257
296,2391.523489932886
297,2106.4026845637586
298,2958.8557046979868
299,2859.936241610738
300,3168.3322147651006
301,3083.9597315436245
302,2263.510067114094
303,2086.036912751678
304,1105.5704697986578
305,2080.218120805369
306,2889.030201342281
307,2606.818791946309
308,2857.026845637584
309,7218.211409395973
310,7436.416107382551
311,7512.060402684563
312,0.0
313,5251.459731543624
314,5257.278523489933
315,2656.278523489933
316,2374.0671140939594
317,2592.271812080537
318,12597.68456375839
319,9816.30201342282
320,12510.402684563758
321,6467.587248322148
322,0.0
323,0.0
324,0.0
325,3607.651006711409
326,3767.6677852348994
327,4879.057046979866
328,5056.5302013422815
329,4044.060402684564
330,4678.308724832215
331,4678.308724832215
332,3526.1879194630874
333,3767.6677852348994
334,3997.510067114094
